ID,Team,Abbreviation,Conference,Division,Rank_EOS_2023,Rank_Pre_2024
1,Arizona Cardinals,ARI,NFC,West,29,29
2,Atlanta Falcons,ATL,NFC,South,24,19
3,Baltimore Ravens,BAL,AFC,North,1,2
4,Buffalo Bills,BUF,AFC,East,5,7
5,Carolina Panthers,CAR,NFC,South,32,32
6,Chicago Bears,CHI,NFC,North,22,17
7,Cincinnati Bengals,CIN,AFC,North,18,9
8,Cleveland Browns,CLE,AFC,North,7,12
9,Dallas Cowboys,DAL,NFC,East,3,11
10,Denver Broncos,DEN,AFC,West,20,31
11,Detroit Lions,DET,NFC,North,4,4
12,Green Bay Packers,GB,NFC,North,17,10
13,Houston Texans,HOU,AFC,South,11,6
14,Indianapolis Colts,IND,AFC,South,14,18
15,Jacksonville Jaguars,JAX,AFC,South,13,14
16,Kansas City Chiefs,KC,AFC,West,9,1
17,Miami Dolphins,MIA,AFC,East,6,8
18,Minnesota Vikings,MIN,NFC,North,23,23
19,New England Patriots,NE,AFC,East,30,30
20,New Orleans Saints,NO,NFC,South,19,25
21,New York Giants,NYG,NFC,East,27,26
22,New York Jets,NYJ,AFC,East,25,15
23,Las Vegas Raiders,LV,AFC,West,21,27
24,Philadelphia Eagles,PHI,NFC,East,8,5
25,Pittsburgh Steelers,PIT,AFC,North,12,16
26,Los Angeles Chargers,LAC,AFC,West,28,20
27,San Francisco 49ers,SF,NFC,West,2,3
28,Seattle Seahawks,SEA,NFC,West,16,22
29,Los Angeles Rams,LAR,NFC,West,10,13
30,Tampa Bay Buccaneers,TB,NFC,South,15,21
31,Tennessee Titans,TEN,AFC,South,26,24
32,Washington Commanders,WAS,NFC,East,31,28
